date,dzongkhag,commodity,price_nu_per_kg,quantity_kg,market
2026-01-02,Zhemgang,Cauliflower,41.94,276.1,Municipal Vegetable Market
2026-01-02,Zhemgang,Radish,22.81,132.7,Weekend Roadside Market
2026-01-02,Zhemgang,Cabbage,18.92,324.2,Centenary Farmers Market
2026-01-02,Zhemgang,Onion,45.06,160.8,Municipal Vegetable Market
2026-01-02,Zhemgang,Potato,34.93,104.0,Weekend Roadside Market
2026-01-02,Thimphu,Chilli (dried),197.89,452.6,Weekend Roadside Market
2026-01-02,Thimphu,Chilli (fresh),130.64,481.8,Weekend Roadside Market
2026-01-02,Thimphu,Spinach,29.47,133.9,Weekend Roadside Market
2026-01-02,Thimphu,Onion,44.68,210.0,Centenary Farmers Market
2026-01-02,Thimphu,Broccoli,48.46,258.4,Municipal Vegetable Market
2026-01-02,Thimphu,Radish,16.19,140.3,Weekend Roadside Market
2026-01-02,Thimphu,Cauliflower,34.17,38.9,Municipal Vegetable Market
2026-01-02,Thimphu,Tomato,80.61,219.4,Centenary Farmers Market
2026-01-02,Chukha,Radish,18.4,382.0,Centenary Farmers Market
2026-01-02,Chukha,Tomato,-96.26,195.6,Municipal Vegetable Market
2026-01-02,Chukha,Chilli (dried),288.37,300.6,Weekend Roadside Market
2026-01-02,Chukha,Spinach,23.0,289.5,Weekend Roadside Market
2026-01-02,Chukha,Chilli (fresh),124.87,216.0,Centenary Farmers Market
2026-01-02,Chukha,Cauliflower,30.82,278.0,Municipal Vegetable Market
2026-01-02,Chukha,Broccoli,80.83,376.3,Centenary Farmers Market
2026-01-02,Chukha,Potato,42.23,154.3,Weekend Roadside Market
2026-01-03,Paro,Chilli (fresh),70.7,119.4,Centenary Farmers Market
2026-01-03,Paro,Potato,41.95,153.1,Centenary Farmers Market
2026-01-03,Paro,Radish,18.24,83.3,Municipal Vegetable Market
2026-01-03,Paro,Cauliflower,30.5,376.0,Weekend Roadside Market
2026-01-03,Paro,Chilli (dried),237.17,237.0,Centenary Farmers Market
2026-01-03,Paro,Cabbage,28.18,239.9,Centenary Farmers Market
2026-01-03,Paro,Tomato,72.52,456.7,Centenary Farmers Market
2026-01-03,Paro,Onion,45.42,301.0,Weekend Roadside Market
2026-01-03,Paro,Spinach,32.33,67.6,Weekend Roadside Market
2026-01-03,Bumthang,Chilli (fresh),81.95,224.8,Weekend Roadside Market
2026-01-03,Bumthang,Cauliflower,38.8,61.0,Municipal Vegetable Market
2026-01-03,Bumthang,Spinach,34.79,289.6,Municipal Vegetable Market
2026-01-03,Bumthang,Cabbage,28.44,459.6,Centenary Farmers Market
2026-01-03,Bumthang,Broccoli,62.25,335.2,Centenary Farmers Market
2026-01-03,Bumthang,Chilli (dried),183.06,128.6,Municipal Vegetable Market
2026-01-03,Bumthang,Onion,60.91,32.6,Weekend Roadside Market
2026-01-03,Bumthang,Radish,22.75,183.1,Centenary Farmers Market
2026-01-03,Haa,Chilli (dried),244.82,237.7,Centenary Farmers Market
2026-01-03,Haa,Potato,31.83,45.3,Centenary Farmers Market
2026-01-03,Haa,Cabbage,21.15,311.4,Municipal Vegetable Market
2026-01-03,Haa,Onion,49.46,345.7,Municipal Vegetable Market
2026-01-03,Tsirang,Potato,26.9,378.6,Centenary Farmers Market
2026-01-03,Tsirang,Broccoli,70.74,190.0,Municipal Vegetable Market
2026-01-03,Tsirang,Chilli (fresh),148.22,296.4,Weekend Roadside Market
2026-01-03,Tsirang,Chilli (dried),269.81,102.5,Weekend Roadside Market
2026-01-03,Tsirang,Cabbage,19.0,229.1,Municipal Vegetable Market
2026-01-03,Tsirang,Onion,47.67,100.7,Weekend Roadside Market
2026-01-03,Tsirang,Cauliflower,50.91,479.9,Weekend Roadside Market
2026-01-03,Tsirang,Tomato,47.26,384.9,Weekend Roadside Market
2026-01-03,Trashigang,Broccoli,62.01,323.1,Municipal Vegetable Market
2026-01-03,Trashigang,Spinach,27.17,197.0,Municipal Vegetable Market
2026-01-03,Trashigang,Onion,58.57,242.1,Weekend Roadside Market
2026-01-03,Trashigang,Cauliflower,58.5,110.4,Weekend Roadside Market
2026-01-03,Trashigang,Radish,18.3,184.9,Weekend Roadside Market
2026-01-03,Trashigang,Chilli (dried),320.17,271.6,Weekend Roadside Market
2026-01-03,Trashigang,Cabbage,20.11,307.0,Weekend Roadside Market
2026-01-03,Mongar,Cauliflower,42.37,187.9,Weekend Roadside Market
2026-01-03,Mongar,Tomato,81.64,200.8,Municipal Vegetable Market
2026-01-03,Mongar,Radish,25.97,272.7,Weekend Roadside Market
2026-01-03,Mongar,Onion,55.93,184.0,Municipal Vegetable Market
2026-01-03,Mongar,Broccoli,61.74,263.7,Weekend Roadside Market
2026-01-03,Mongar,Spinach,30.69,82.9,Municipal Vegetable Market
2026-01-03,Mongar,Cabbage,27.32,366.2,Centenary Farmers Market
2026-01-03,Mongar,Chilli (fresh),89.37,379.3,Municipal Vegetable Market
2026-01-03,Mongar,Potato,45.62,113.1,Weekend Roadside Market
2026-01-03,Thimphu,Cauliflower,31.59,327.8,Municipal Vegetable Market
2026-01-03,Thimphu,Radish,24.38,386.3,Municipal Vegetable Market
2026-01-03,Thimphu,Broccoli,54.66,412.0,Municipal Vegetable Market
2026-01-03,Thimphu,Cabbage,19.91,59.2,Centenary Farmers Market
2026-01-03,Thimphu,Spinach,39.42,86.0,Municipal Vegetable Market
2026-01-03,Thimphu,Tomato,76.03,315.4,Centenary Farmers Market
2026-01-03,Samtse,Broccoli,56.81,318.9,Centenary Farmers Market
2026-01-03,Samtse,Radish,15.28,,Centenary Farmers Market
2026-01-03,Samtse,Cauliflower,42.7,340.7,Weekend Roadside Market
2026-01-03,Samtse,Potato,40.3,286.0,Municipal Vegetable Market
2026-01-03,Samtse,Chilli (dried),249.5,191.4,Centenary Farmers Market
2026-01-03,Samtse,Cabbage,28.45,179.6,Centenary Farmers Market
2026-01-03,Samtse,Onion,68.51,490.8,Municipal Vegetable Market
2026-01-03,Samtse,Spinach,38.9,160.9,Centenary Farmers Market
2026-01-03,Samtse,Chilli (fresh),82.22,411.4,Municipal Vegetable Market
2026-01-03,Punakha,Potato,45.91,449.4,Municipal Vegetable Market
2026-01-03,Punakha,Onion,55.57,148.0,Centenary Farmers Market
2026-01-03,Punakha,Tomato,81.32,174.2,Centenary Farmers Market
2026-01-03,Punakha,Broccoli,66.34,233.1,Municipal Vegetable Market
2026-01-03,Punakha,Chilli (dried),298.12,490.4,Centenary Farmers Market
2026-01-03,Punakha,Chilli (fresh),130.77,477.3,Centenary Farmers Market
2026-01-03,Lhuentse,Cabbage,25.14,93.7,Municipal Vegetable Market
2026-01-03,Lhuentse,Chilli (fresh),106.85,211.1,Weekend Roadside Market
2026-01-03,Lhuentse,Onion,45.82,458.5,Centenary Farmers Market
2026-01-03,Lhuentse,Chilli (dried),298.94,459.9,Municipal Vegetable Market
2026-01-03,Lhuentse,Radish,18.35,498.7,Weekend Roadside Market
2026-01-03,Zhemgang,Cabbage,15.31,86.7,Municipal Vegetable Market
2026-01-03,Zhemgang,Radish,25.84,313.7,Centenary Farmers Market
2026-01-03,Zhemgang,Tomato,59.69,216.5,Weekend Roadside Market
2026-01-03,Zhemgang,Chilli (dried),256.13,185.4,Weekend Roadside Market
2026-01-03,Zhemgang,Broccoli,69.98,46.6,Centenary Farmers Market
2026-01-03,Zhemgang,Onion,62.44,474.8,Weekend Roadside Market
2026-01-03,Zhemgang,Cauliflower,49.8,80.1,Municipal Vegetable Market
2026-01-03,Zhemgang,Chilli (fresh),109.94,102.2,Weekend Roadside Market
2026-01-03,Zhemgang,Potato,39.81,33.6,Centenary Farmers Market
2026-01-03,Wangdue Phodrang,Broccoli,69.67,165.0,Centenary Farmers Market
2026-01-03,Wangdue Phodrang,Cauliflower,27.94,231.0,Municipal Vegetable Market
2026-01-03,Wangdue Phodrang,Potato,39.94,494.3,Municipal Vegetable Market
2026-01-03,Wangdue Phodrang,Chilli (fresh),99.24,243.9,Municipal Vegetable Market
2026-01-03,Wangdue Phodrang,Onion,75.83,220.7,Centenary Farmers Market
2026-01-03,Chukha,Chilli (dried),218.93,208.8,Municipal Vegetable Market
2026-01-03,Chukha,Spinach,21.23,443.5,Weekend Roadside Market
2026-01-03,Chukha,Radish,14.6,146.9,Municipal Vegetable Market
2026-01-03,Chukha,Chilli (fresh),95.95,285.5,Centenary Farmers Market
2026-01-03,Chukha,Broccoli,80.9,313.3,Centenary Farmers Market
2026-01-04,Tsirang,Onion,51.48,374.9,Municipal Vegetable Market
2026-01-04,Tsirang,Spinach,32.85,247.9,Centenary Farmers Market
2026-01-04,Tsirang,Radish,24.6,368.2,Weekend Roadside Market
2026-01-04,Tsirang,Cabbage,28.35,297.7,Centenary Farmers Market
2026-01-04,Tsirang,Tomato,72.1,423.8,Centenary Farmers Market
2026-01-04,Tsirang,Broccoli,66.25,231.7,Municipal Vegetable Market
2026-01-04,Tsirang,Cauliflower,59.97,439.0,Weekend Roadside Market
2026-01-04,Tsirang,Chilli (fresh),120.54,249.6,Municipal Vegetable Market
2026-01-04,Tsirang,Chilli (dried),217.96,390.6,Weekend Roadside Market
2026-01-04,Haa,Chilli (fresh),129.17,351.3,Municipal Vegetable Market
2026-01-04,Haa,Broccoli,71.6,78.5,Weekend Roadside Market
2026-01-04,Haa,Tomato,58.4,90.3,Centenary Farmers Market
2026-01-04,Haa,Spinach,28.79,250.0,Centenary Farmers Market
2026-01-04,Haa,Chilli (dried),192.47,375.6,Centenary Farmers Market
2026-01-04,Haa,Cabbage,21.27,218.4,Weekend Roadside Market
2026-01-04,Haa,Onion,78.82,95.8,Weekend Roadside Market
2026-01-04,Mongar,Tomato,74.48,295.6,Weekend Roadside Market
2026-01-04,Mongar,Onion,65.98,422.1,Centenary Farmers Market
2026-01-04,Mongar,Broccoli,-93.9,464.5,Centenary Farmers Market
2026-01-04,Mongar,Radish,25.98,494.8,Weekend Roadside Market
2026-01-04,Mongar,Potato,32.69,408.2,Municipal Vegetable Market
2026-01-04,Punakha,Potato,36.24,431.0,Municipal Vegetable Market
2026-01-04,Punakha,Onion,54.4,,Municipal Vegetable Market
2026-01-04,Punakha,Tomato,55.41,178.2,Weekend Roadside Market
2026-01-04,Punakha,Spinach,32.42,76.7,Municipal Vegetable Market
2026-01-04,Punakha,Radish,28.69,351.3,Weekend Roadside Market
2026-01-04,Wangdue Phodrang,Chilli (dried),306.36,356.9,Municipal Vegetable Market
2026-01-04,Wangdue Phodrang,Spinach,41.16,306.0,Centenary Farmers Market
2026-01-04,Wangdue Phodrang,Broccoli,72.19,417.8,Weekend Roadside Market
2026-01-04,Wangdue Phodrang,Chilli (fresh),126.12,346.5,Weekend Roadside Market
2026-01-04,Wangdue Phodrang,Onion,63.36,266.4,Municipal Vegetable Market
2026-01-04,Trongsa,Potato,31.58,185.4,Centenary Farmers Market
2026-01-04,Trongsa,Cauliflower,59.08,157.8,Centenary Farmers Market
2026-01-04,Trongsa,Tomato,68.84,496.6,Municipal Vegetable Market
2026-01-04,Trongsa,Radish,18.28,439.8,Centenary Farmers Market
2026-01-04,Trongsa,Broccoli,67.07,369.4,Centenary Farmers Market
2026-01-04,Trongsa,Cabbage,23.39,223.6,Municipal Vegetable Market
2026-01-04,Lhuentse,Chilli (fresh),123.48,446.7,Centenary Farmers Market
2026-01-04,Lhuentse,Cabbage,25.43,43.4,Weekend Roadside Market
2026-01-04,Lhuentse,Potato,43.41,87.3,Municipal Vegetable Market
2026-01-04,Lhuentse,Cauliflower,51.19,412.8,Centenary Farmers Market
2026-01-04,Lhuentse,Onion,43.84,49.3,Weekend Roadside Market
2026-01-04,Lhuentse,Broccoli,62.01,486.7,Weekend Roadside Market
2026-01-04,Samtse,Cauliflower,34.16,431.6,Centenary Farmers Market
2026-01-04,Samtse,Chilli (dried),320.91,84.4,Centenary Farmers Market
2026-01-04,Samtse,Tomato,57.43,277.1,Centenary Farmers Market
2026-01-04,Samtse,Chilli (fresh),55.07,406.2,Weekend Roadside Market
2026-01-04,Samtse,Cabbage,26.64,479.4,Centenary Farmers Market
2026-01-04,Samtse,Spinach,41.62,458.9,Weekend Roadside Market
2026-01-04,Samtse,Broccoli,72.63,202.7,Weekend Roadside Market
2026-01-04,Chukha,Spinach,24.03,434.8,Weekend Roadside Market
2026-01-04,Chukha,Cabbage,23.1,93.2,Municipal Vegetable Market
2026-01-04,Chukha,Broccoli,75.94,182.0,Municipal Vegetable Market
2026-01-04,Chukha,Cauliflower,38.15,101.2,Weekend Roadside Market
2026-01-04,Chukha,Chilli (dried),362.35,271.5,Centenary Farmers Market
2026-01-04,Chukha,Radish,22.45,131.1,Weekend Roadside Market
2026-01-04,Chukha,Onion,43.54,468.3,Municipal Vegetable Market
2026-01-04,Thimphu,Potato,46.18,71.4,Centenary Farmers Market
2026-01-04,Thimphu,Broccoli,52.69,401.6,Centenary Farmers Market
2026-01-04,Thimphu,Tomato,82.11,348.3,Centenary Farmers Market
2026-01-04,Thimphu,Spinach,21.53,285.3,Centenary Farmers Market
2026-01-04,Thimphu,Chilli (dried),311.32,179.0,Centenary Farmers Market
2026-01-04,Thimphu,Radish,28.26,292.1,Municipal Vegetable Market
2026-01-04,Thimphu,Chilli (fresh),134.46,35.8,Municipal Vegetable Market
2026-01-04,Trashigang,Cauliflower,46.98,494.5,Weekend Roadside Market
2026-01-04,Trashigang,Cabbage,15.14,56.5,Weekend Roadside Market
2026-01-04,Trashigang,Tomato,66.6,151.2,Municipal Vegetable Market
2026-01-04,Trashigang,Radish,21.73,337.1,Centenary Farmers Market
2026-01-04,Trashigang,Spinach,20.32,202.4,Weekend Roadside Market
2026-01-04,Trashigang,Broccoli,55.13,233.5,Municipal Vegetable Market
2026-01-04,Trashigang,Chilli (fresh),104.95,69.6,Centenary Farmers Market
2026-01-04,Trashigang,Chilli (dried),217.66,160.1,Municipal Vegetable Market
2026-01-04,Trashigang,Onion,64.4,270.1,Weekend Roadside Market
2026-01-04,Trashigang,Potato,30.29,228.6,Municipal Vegetable Market
2026-01-04,Sarpang,Spinach,31.33,179.5,Weekend Roadside Market
2026-01-04,Sarpang,Chilli (fresh),103.62,332.5,Weekend Roadside Market
2026-01-04,Sarpang,Broccoli,50.08,483.0,Municipal Vegetable Market
2026-01-04,Sarpang,Potato,33.7,200.5,Municipal Vegetable Market
2026-01-04,Sarpang,Cabbage,27.08,388.5,Centenary Farmers Market
2026-01-04,Bumthang,Tomato,50.61,363.3,Municipal Vegetable Market
2026-01-04,Bumthang,Cabbage,21.05,461.8,Weekend Roadside Market
2026-01-04,Bumthang,Cauliflower,55.83,305.0,Centenary Farmers Market
2026-01-04,Bumthang,Onion,46.51,290.3,Weekend Roadside Market
2026-01-04,Bumthang,Chilli (fresh),134.39,25.1,Municipal Vegetable Market
2026-01-04,Bumthang,Radish,21.94,199.6,Municipal Vegetable Market
2026-01-04,Bumthang,Chilli (dried),195.73,70.2,Municipal Vegetable Market
2026-01-05,Haa,Spinach,43.06,345.0,Centenary Farmers Market
2026-01-05,Haa,Onion,53.69,224.7,Municipal Vegetable Market
2026-01-05,Haa,Cabbage,24.11,34.0,Weekend Roadside Market
2026-01-05,Haa,Chilli (dried),165.17,153.6,Weekend Roadside Market
2026-01-05,Haa,Potato,38.45,176.5,Municipal Vegetable Market
2026-01-05,Haa,Radish,26.01,206.5,Municipal Vegetable Market
2026-01-05,Haa,Tomato,75.45,358.9,Municipal Vegetable Market
2026-01-05,Chukha,Cabbage,25.48,220.8,Centenary Farmers Market
2026-01-05,Chukha,Chilli (fresh),115.94,466.7,Centenary Farmers Market
2026-01-05,Chukha,Tomato,51.53,45.7,Municipal Vegetable Market
2026-01-05,Chukha,Potato,33.28,333.5,Municipal Vegetable Market
2026-01-05,Chukha,Broccoli,56.47,34.8,Centenary Farmers Market
2026-01-05,Chukha,Chilli (dried),200.94,376.4,Municipal Vegetable Market
2026-01-05,Lhuentse,Radish,21.7,235.9,Municipal Vegetable Market
2026-01-05,Lhuentse,Onion,47.59,120.7,Weekend Roadside Market
2026-01-05,Lhuentse,Potato,33.88,86.8,Centenary Farmers Market
2026-01-05,Lhuentse,Cauliflower,47.3,100.8,Weekend Roadside Market
2026-01-05,Lhuentse,Broccoli,73.45,411.3,Centenary Farmers Market
2026-01-05,Lhuentse,Chilli (fresh),154.75,80.9,Centenary Farmers Market
2026-01-05,Lhuentse,Cabbage,27.82,254.9,Weekend Roadside Market
2026-01-05,Lhuentse,Tomato,42.61,389.1,Municipal Vegetable Market
2026-01-05,Lhuentse,Spinach,33.17,177.1,Centenary Farmers Market
2026-01-05,Lhuentse,Chilli (dried),328.89,354.7,Centenary Farmers Market
2026-01-05,Sarpang,Chilli (fresh),141.88,42.1,Weekend Roadside Market
2026-01-05,Sarpang,Spinach,40.71,20.3,Municipal Vegetable Market
2026-01-05,Sarpang,Tomato,63.51,467.7,Municipal Vegetable Market
2026-01-05,Sarpang,Chilli (dried),285.23,44.9,Weekend Roadside Market
2026-01-05,Sarpang,Cauliflower,52.7,20.5,Municipal Vegetable Market
2026-01-05,Sarpang,Onion,45.48,184.9,Centenary Farmers Market
2026-01-05,Sarpang,Cabbage,15.5,370.8,Centenary Farmers Market
2026-01-05,Sarpang,Radish,21.85,439.8,Weekend Roadside Market
2026-01-05,Sarpang,Broccoli,47.38,231.2,Weekend Roadside Market
2026-01-05,Sarpang,Potato,36.68,124.3,Centenary Farmers Market
2026-01-05,Wangdue Phodrang,Cauliflower,38.58,366.2,Municipal Vegetable Market
2026-01-05,Wangdue Phodrang,Onion,56.2,268.5,Weekend Roadside Market
2026-01-05,Wangdue Phodrang,Chilli (dried),315.27,134.9,Municipal Vegetable Market
2026-01-05,Wangdue Phodrang,Cabbage,26.21,493.7,Municipal Vegetable Market
2026-01-05,Wangdue Phodrang,Spinach,30.73,386.1,Centenary Farmers Market
2026-01-05,Wangdue Phodrang,Potato,22.4,398.9,Weekend Roadside Market
2026-01-05,Tsirang,Cauliflower,41.3,407.9,Weekend Roadside Market
2026-01-05,Tsirang,Cabbage,25.81,168.9,Municipal Vegetable Market
2026-01-05,Tsirang,Chilli (dried),188.29,237.6,Weekend Roadside Market
2026-01-05,Tsirang,Spinach,20.83,85.9,Centenary Farmers Market
2026-01-05,Tsirang,Potato,43.35,100.1,Centenary Farmers Market
2026-01-05,Tsirang,Broccoli,55.69,180.8,Municipal Vegetable Market
2026-01-05,Tsirang,Onion,50.03,238.5,Municipal Vegetable Market
2026-01-05,Zhemgang,Tomato,54.37,434.2,Centenary Farmers Market
2026-01-05,Zhemgang,Cabbage,20.13,37.0,Weekend Roadside Market
2026-01-05,Zhemgang,Radish,21.76,150.2,Centenary Farmers Market
2026-01-05,Zhemgang,Spinach,19.55,267.6,Centenary Farmers Market
2026-01-05,Zhemgang,Onion,53.48,177.1,Weekend Roadside Market
2026-01-05,Mongar,Tomato,34.4,131.8,Municipal Vegetable Market
2026-01-05,Mongar,Chilli (fresh),93.54,200.6,Weekend Roadside Market
2026-01-05,Mongar,Spinach,25.89,48.7,Centenary Farmers Market
2026-01-05,Mongar,Chilli (dried),307.43,356.4,Municipal Vegetable Market
2026-01-05,Mongar,Broccoli,67.9,209.3,Weekend Roadside Market
2026-01-05,Mongar,Radish,16.78,171.2,Municipal Vegetable Market
2026-01-05,Mongar,Cabbage,16.64,117.3,Weekend Roadside Market
2026-01-05,Mongar,Cauliflower,34.94,192.0,Centenary Farmers Market
